s1 1   2   3.115 ebov=3.227,marv=0.167
s1 2   3   0.373 ebov=0.199,marv=0.141
s1 3   4   0.841 ebov=0.301,marv=0.141
s1 4   5   1.011 ebov=0.163,marv=0.16
s1 5   6   1.467 ebov=1.014,marv=0.118
s1 6   7   2.193 ebov=0.176,marv=0.122
s1 7   8   2.567 ebov=0.71,marv=0.126
s1 8   9   3.106 ebov=0.178,marv=0.168
s1 9   10  3.254 ebov=0.834,marv=0.116
s1 10  11  2.721 ebov=0.763,marv=0.13
s1 11  12  3.222 ebov=0.587,marv=0.122
s1 12  13  1.459 ebov=0.197,marv=0.129
s1 13  14  2.368 ebov=3.036,marv=0.109
s1 14  15  0.329 ebov=0.142,marv=0.113
s1 15  16  1.643 ebov=1.83,marv=0.13
s1 16  17  0.37  ebov=0.308,marv=0.12
s1 17  18  0.979 ebov=0.59,marv=0.112
s1 18  19  0.474 ebov=0.384,marv=0.118
s1 19  20  1.154 ebov=0.367,marv=0.212
s1 20  21  0.315 ebov=0.135,marv=0.111
s1 21  22  3.045 ebov=1.326,marv=0.115
s1 22  23  0.253 ebov=0.144,marv=0.115
s1 23  24  3.276 ebov=0.196,marv=0.122
s1 24  25  0.38  ebov=0.195,marv=0.169
s1 25  26  0.595 ebov=0.126,marv=0.11
s1 26  27  0.194 ebov=0.114,marv=0.106
s1 27  28  3.039 ebov=1.71,marv=0.106
s1 28  29  0.928 ebov=0.098,marv=0.106
s1 29  30  1.05  ebov=0.338,marv=0.102
s1 30  31  0.338 ebov=0.116,marv=0.1
s1 31  32  2.45  ebov=2.509,marv=0.104
s1 32  33  3.059 ebov=0.172,marv=0.105
s1 33  34  3.211 ebov=1.713,marv=0.105
s1 34  35  0.184 ebov=0.15,marv=0.1
s1 35  36  1.409 ebov=1.698,marv=0.1
s1 36  37  0.194 ebov=0.115,marv=0.1
s1 37  38  1.814 ebov=0.512,marv=0.103
s1 38  39  0.503 ebov=0.772,marv=0.149
s1 39  40  3.094 ebov=3.243,marv=0.112
s1 40  41  3.181 ebov=3.27,marv=0.108
s1 41  42  3.195 ebov=0.433,marv=0.116
s1 42  43  1.783 ebov=0.126,marv=0.106
s1 43  44  3.19  ebov=0.538,marv=0.104
s1 44  45  1.024 ebov=0.478,marv=0.101
s1 45  46  1.285 ebov=0.356,marv=0.104
s1 46  47  0.587 ebov=0.132,marv=0.106
s1 47  48  3.266 ebov=2.889,marv=0.288
s1 48  49  0.389 ebov=0.371,marv=0.118
s1 49  50  0.527 ebov=0.329,marv=0.109
s1 50  51  3.472 ebov=1.047,marv=0.098
s1 51  52  1.799 ebov=2.545,marv=0.092
s1 52  53  2.383 ebov=2.561,marv=0.094
s1 53  54  2.223 ebov=0.457,marv=0.092
s1 54  55  3.459 ebov=3.54,marv=0.097
s1 55  56  0.442 ebov=0.334,marv=0.158
